iter	RMSE
0	4.3670343
1	4.350822371
2	4.335852705
3	4.319498903
4	4.303060712
5	4.287510296
6	4.272651187
7	4.259087193
8	4.242799195
9	4.228850597
10	4.212745014
11	4.198893373
12	4.185396747
13	4.171422352
14	4.158794647
15	4.145265408
16	4.129998264
17	4.114581015
18	4.101750415
19	4.088482791
20	4.07684119
21	4.063902662
22	4.051564953
23	4.041316459
24	4.029418526
25	4.01741724
26	4.005442065
27	3.992255122
28	3.981784356
29	3.970791437
30	3.959982998
31	3.947620894
32	3.935666027
33	3.924272071
34	3.913675863
35	3.903209439
36	3.892367731
37	3.883333419
38	3.872477633
39	3.863482571
40	3.852541253
41	3.842120102
42	3.831041093
43	3.821141519
44	3.810704785
45	3.800610359
46	3.790289803
47	3.781045417
48	3.771911977
49	3.763934542
50	3.755003006
51	3.746640742
52	3.736947388
53	3.72860711
54	3.718406698
55	3.70925536
56	3.700550367
57	3.691106431
58	3.681059018
59	3.673040571
60	3.664295915
61	3.65588762
62	3.648706351
63	3.6399337
64	3.630518675
65	3.621730859
66	3.614104025
67	3.606182955
68	3.598102904
69	3.590149395
70	3.581239547
71	3.573900029
72	3.56574833
73	3.558931604
74	3.552696033
75	3.545982081
76	3.538016427
77	3.532569185
78	3.526949481
79	3.519563829
80	3.513207477
81	3.506538803
82	3.496962958
83	3.490040453
84	3.483880773
85	3.478139723
86	3.469791536
87	3.462738011
88	3.457068687
89	3.451763795
90	3.445185278
91	3.437810613
92	3.431338134
93	3.424174973
94	3.418678441
95	3.414101104
96	3.408344976
97	3.399401632
98	3.393802923
99	3.388038441
100	3.383120831
101	3.376288191
102	3.37135941
103	3.364193745
104	3.360723598
105	3.355276511
106	3.349460009
107	3.343241671
108	3.338230345
109	3.333671849
110	3.328853786
111	3.323430212
112	3.319771591
113	3.310109195
114	3.305168309
115	3.298509845
116	3.29384683
117	3.28853739
118	3.283913046
119	3.278733582
120	3.272587308
121	3.266511466
122	3.262023406
123	3.257535889
124	3.252711176
125	3.24953191
126	3.245635007
127	3.242020033
128	3.23802088
129	3.229797568
130	3.223957178
131	3.219875043
132	3.216211513
133	3.212518751
134	3.208522963
135	3.2054024
136	3.201220901
137	3.196316499
138	3.190531843
139	3.186202141
140	3.181932034
141	3.174510777
142	3.170688503
143	3.16671364
144	3.162920396
145	3.156907561
146	3.154590899
147	3.14567366
148	3.140912156
149	3.136810899
150	3.133074076
151	3.127632105
152	3.124967949
153	3.120975832
154	3.117430307
155	3.114605538
156	3.111763979
157	3.108593321
158	3.105175644
159	3.101479855
160	3.098649492
161	3.093546782
162	3.090598912
163	3.086723866
164	3.081743895
165	3.075784035
166	3.073320967
167	3.071056275
168	3.067987399
169	3.064664799
170	3.060264851
171	3.055932022
172	3.052884706
173	3.049849738
174	3.047391827
175	3.043407996
176	3.0366023
177	3.033983629
178	3.030982845
179	3.028273233
180	3.024836351
181	3.021238092
182	3.015058385
183	3.0122249
184	3.009117571
185	3.006455626
186	3.003353048
187	2.999523903
188	2.997794173
189	2.995059014
190	2.993088134
191	2.989957478
192	2.987471993
193	2.983831523
194	2.979633961
195	2.976128741
196	2.974232815
197	2.972223604
198	2.967630253
199	2.965416482
200	2.961781663
201	2.958629366
202	2.955249934
203	2.953180871
204	2.950819885
205	2.948236495
206	2.942865698
207	2.939468144
208	2.937811728
